year,ai_technology,industry,market_size_billion,adoption_rate_percent,growth_rate_percent
2018,NLP,Healthcare,2.5,30,12
2019,NLP,Healthcare,3.0,35,15
2020,NLP,Healthcare,3.8,40,18
2021,NLP,Healthcare,4.5,50,20
2022,NLP,Healthcare,5.8,60,25
2018,Computer Vision,Retail,1.8,25,10
2019,Computer Vision,Retail,2.2,30,12
2020,Computer Vision,Retail,2.9,38,15
2021,Computer Vision,Retail,3.6,45,18
2022,Computer Vision,Retail,4.5,55,22
2018,GANs,Entertainment,0.5,10,20
2019,GANs,Entertainment,0.7,15,25
2020,GANs,Entertainment,1.1,22,30
2021,GANs,Entertainment,1.5,30,35
2022,GANs,Entertainment,2.2,40,40
2018,Reinforcement Learning,Finance,3.0,20,8
2019,Reinforcement Learning,Finance,3.5,25,10
2020,Reinforcement Learning,Finance,4.2,30,12
2021,Reinforcement Learning,Finance,5.0,40,15
2022,Reinforcement Learning,Finance,6.5,50,18
